epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,521.969,0.43222,1.93304,1.02591,0.60026,0.69043,0.71168,0.709,0.16769,1.14242,1.08393,0.0700384,0.00332907,0.00332907
2,1146.4,0.3169,1.22945,0.92561,0.5409,0.55343,0.57843,0.50259,0.44934,1.59077,1.20613,0.0398185,0.00644254,0.00644254
3,1553.77,0.29645,1.23282,0.91726,0.64962,0.45462,0.51208,0.5061,0.16638,4.09259,1.06126,0.00937864,0.00933602,0.00933602
4,1893.62,0.24434,1.21198,0.90747,0.59328,0.69718,0.72275,0.71762,0.09479,2.71442,1.06123,0.00901,0.00901,0.00901
5,2231.2,0.20362,1.13784,0.90199,0.68093,0.65518,0.72883,0.70847,0.14847,1.04565,1.07403,0.00868,0.00868,0.00868
6,2569.18,0.1835,1.08854,0.8974,0.66196,0.6835,0.73005,0.70009,0.16061,1.06885,1.07061,0.00835,0.00835,0.00835
7,2906.11,0.16995,1.04968,0.89653,0.66435,0.63413,0.68636,0.614,0.26423,1.22031,1.12656,0.00802,0.00802,0.00802
8,3243.66,0.15918,1.02359,0.89533,0.7686,0.7397,0.79807,0.78513,0.10467,1.74363,1.05923,0.00769,0.00769,0.00769
9,3581.84,0.15224,1.00807,0.89412,0.75409,0.73573,0.8125,0.78309,0.13912,1.03162,1.08187,0.00736,0.00736,0.00736
10,3920.04,0.14658,0.98892,0.89355,0.80569,0.80288,0.86647,0.85956,0.08131,0.85302,1.05231,0.00703,0.00703,0.00703
11,4259.75,0.14093,0.96596,0.89197,0.81183,0.75503,0.8447,0.81798,0.12677,0.82421,1.0707,0.0067,0.0067,0.0067
12,4701.63,0.13556,0.95199,0.89223,0.79105,0.76611,0.84528,0.8153,0.13865,0.76703,1.08157,0.00637,0.00637,0.00637
13,5039.3,0.1313,0.94056,0.89173,0.80827,0.79324,0.85954,0.83822,0.10395,0.85279,1.06378,0.00604,0.00604,0.00604
14,5376.04,0.12783,0.92605,0.89042,0.80619,0.79172,0.87331,0.8546,0.11422,0.67968,1.06206,0.00571,0.00571,0.00571
15,5711.47,0.12522,0.91683,0.89011,0.75019,0.6954,0.78896,0.7224,0.21303,0.89765,1.108,0.00538,0.00538,0.00538
16,6048.98,0.12133,0.90127,0.88938,0.81285,0.78863,0.86581,0.84073,0.12251,0.7646,1.06663,0.00505,0.00505,0.00505
17,6384.95,0.11763,0.89531,0.88949,0.79159,0.77194,0.85588,0.82195,0.14074,0.67273,1.07248,0.00472,0.00472,0.00472
18,6721.58,0.11569,0.88176,0.89023,0.81787,0.77845,0.87146,0.84572,0.12883,0.63912,1.07019,0.00439,0.00439,0.00439
19,7058.54,0.11249,0.87356,0.88881,0.83164,0.8164,0.89478,0.87933,0.10224,0.57371,1.05913,0.00406,0.00406,0.00406
20,7396.02,0.10975,0.86033,0.88815,0.83987,0.81547,0.89516,0.88204,0.09201,0.62469,1.05565,0.00373,0.00373,0.00373
21,7839.91,0.0776,0.46507,0.90191,0.85724,0.8458,0.92316,0.91697,0.07246,0.46193,1.04831,0.0034,0.0034,0.0034
22,8242.4,0.07099,0.43403,0.90037,0.86856,0.85029,0.92859,0.92536,0.06985,0.42738,1.04768,0.00307,0.00307,0.00307
23,8570.99,0.06769,0.41202,0.90004,0.86807,0.85012,0.92705,0.92345,0.07355,0.431,1.04839,0.00274,0.00274,0.00274
24,8899.25,0.065,0.39329,0.89908,0.86533,0.85579,0.92829,0.92421,0.0761,0.42825,1.04929,0.00241,0.00241,0.00241
25,9226.6,0.06214,0.37642,0.90105,0.86359,0.8611,0.92906,0.9245,0.07942,0.42497,1.05022,0.00208,0.00208,0.00208
26,9553.96,0.05974,0.35501,0.90057,0.86741,0.86142,0.93007,0.92506,0.08243,0.42624,1.05125,0.00175,0.00175,0.00175
27,9881.32,0.05714,0.33649,0.89906,0.87033,0.86259,0.9313,0.92559,0.08544,0.42908,1.05263,0.00142,0.00142,0.00142
28,10210.2,0.05492,0.31665,0.89902,0.87247,0.86105,0.93191,0.92581,0.08872,0.43428,1.05399,0.00109,0.00109,0.00109
29,10538.2,0.05258,0.30179,0.89872,0.87081,0.86409,0.9326,0.9251,0.09308,0.4425,1.05583,0.00076,0.00076,0.00076
30,10865.5,0.05,0.28421,0.8996,0.87056,0.86519,0.93233,0.92413,0.09704,0.45112,1.05767,0.00043,0.00043,0.00043
