epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,701.732,1.085,2.55288,1.0778,0.09269,0.8164,0.10166,0.09701,0.76233,26.2137,1.11693,0.0700384,0.00332907,0.00332907
2,1076.66,0.74937,1.65508,0.96592,0.13023,0.87772,0.14173,0.13247,0.8935,34.9953,1.19301,0.0395986,0.00622269,0.00622269
3,1488.08,0.67417,1.58017,0.96351,0.14163,0.68574,0.11903,0.10525,0.58753,11.3604,1.15091,0.00871893,0.0086763,0.0086763
