epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,180.555,1.2527,3.69134,1.10142,0.19965,0.60132,0.06569,0.06533,1.65739,19.6239,1.39078,0.00332907,0.00332907,0.00332907
2,328.497,0.79106,1.79776,0.96545,0.10557,0.62575,0.09045,0.07923,1.01118,5.2563,1.20527,0.00653049,0.00653049,0.00653049
3,484.899,0.73558,1.645,0.96295,0.1195,0.54089,0.16093,0.1313,0.69545,6.40695,1.17449,0.00959991,0.00959991,0.00959991
4,640.179,0.62617,1.58641,0.94954,0.20714,0.49838,0.30791,0.24949,0.59532,6.50353,1.12884,0.009406,0.009406,0.009406
5,941.743,0.52147,1.51446,0.93523,0.31124,0.35145,0.28472,0.22362,0.69066,6.83267,1.15618,0.009208,0.009208,0.009208
