epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,490.503,0.11871,0.86839,0.88967,0.8799,0.6185,0.80169,0.77872,0.08517,2.82702,1.06607,0.0677494,0.000997442,0.000997442
2,1104.12,0.12168,0.92041,0.88841,0.81162,0.72221,0.84358,0.83515,0.10079,0.73421,1.07046,0.0353501,0.00193153,0.00193153
3,1602.51,0.1278,0.96206,0.89002,0.8179,0.70153,0.8196,0.80498,0.0816,2.3512,1.05305,0.00288486,0.00279961,0.00279961
4,2194.02,0.12373,0.95464,0.88887,0.69655,0.74878,0.78771,0.72593,0.20287,1.37757,1.11262,0.002703,0.002703,0.002703
5,2762.4,0.11841,0.93515,0.88947,0.67173,0.68992,0.73351,0.68241,0.20021,1.01363,1.10021,0.002604,0.002604,0.002604
6,3509.6,0.11596,0.91964,0.88774,0.70903,0.75677,0.8096,0.76747,0.18543,1.1036,1.09302,0.002505,0.002505,0.002505
7,4165.67,0.11188,0.90477,0.88834,0.64867,0.6814,0.73773,0.66816,0.23795,1.87761,1.13829,0.002406,0.002406,0.002406
8,4762.14,0.10921,0.89538,0.88831,0.69281,0.75719,0.79744,0.74065,0.17704,0.91187,1.08711,0.002307,0.002307,0.002307
9,5423.67,0.10859,0.88854,0.8879,0.85433,0.8099,0.8824,0.88132,0.06452,1.21141,1.04527,0.002208,0.002208,0.002208
10,6199.86,0.10633,0.88443,0.88766,0.65962,0.72736,0.76656,0.67071,0.28076,1.08552,1.14002,0.002109,0.002109,0.002109
11,6848.04,0.10395,0.87063,0.88698,0.61012,0.73175,0.7411,0.6433,0.19579,3.11543,1.09267,0.00201,0.00201,0.00201
12,7501.16,0.10276,0.86107,0.88772,0.84296,0.79315,0.8761,0.86121,0.09107,0.83327,1.05347,0.001911,0.001911,0.001911
13,8156,0.10094,0.85698,0.88743,0.71321,0.78616,0.82789,0.7925,0.12491,0.77893,1.06604,0.001812,0.001812,0.001812
14,8811.77,0.09938,0.84805,0.88657,0.66276,0.72023,0.77138,0.68705,0.28149,0.88126,1.13412,0.001713,0.001713,0.001713
15,9597.75,0.09857,0.84123,0.88631,0.86663,0.83815,0.90506,0.89712,0.07733,0.66852,1.05032,0.001614,0.001614,0.001614
16,10279.6,0.09731,0.83209,0.88597,0.86554,0.83316,0.90566,0.89962,0.06353,0.68362,1.04798,0.001515,0.001515,0.001515
17,10943.4,0.09462,0.82479,0.88609,0.81007,0.79253,0.87643,0.84715,0.10054,0.51474,1.06428,0.001416,0.001416,0.001416
18,11603.7,0.09417,0.82088,0.88701,0.83534,0.83239,0.9014,0.88637,0.08624,0.52912,1.05308,0.001317,0.001317,0.001317
19,12262.8,0.09259,0.81003,0.88609,0.7356,0.73651,0.8097,0.73722,0.2432,0.78891,1.13271,0.001218,0.001218,0.001218
20,13041.9,0.09201,0.80473,0.88565,0.75511,0.77097,0.84433,0.77648,0.23214,0.89057,1.12393,0.001119,0.001119,0.001119
21,13745.5,0.06186,0.39572,0.89889,0.86532,0.88412,0.94178,0.93893,0.06568,0.37708,1.046,0.00102,0.00102,0.00102
22,14477.9,0.05619,0.35903,0.89781,0.88249,0.87586,0.94586,0.94277,0.06082,0.36412,1.0445,0.000921,0.000921,0.000921
23,15219.5,0.05402,0.34157,0.8975,0.86855,0.85602,0.93509,0.92126,0.07959,0.53613,1.05357,0.000822,0.000822,0.000822
24,16065.8,0.05314,0.32596,0.89702,0.86634,0.88365,0.94465,0.93809,0.0777,0.44164,1.04824,0.000723,0.000723,0.000723
25,16986.2,0.05168,0.31375,0.89897,0.89642,0.88057,0.95203,0.94923,0.06462,0.39898,1.04796,0.000624,0.000624,0.000624
26,17772.8,0.05028,0.30146,0.89885,0.88782,0.88953,0.95281,0.9525,0.04621,0.31586,1.04181,0.000525,0.000525,0.000525
27,18546.3,0.04887,0.28867,0.89752,0.89601,0.87481,0.95092,0.95018,0.05093,0.33783,1.04245,0.000426,0.000426,0.000426
28,19329.7,0.04811,0.27388,0.89782,0.90157,0.87187,0.95123,0.95079,0.04578,0.34336,1.04202,0.000327,0.000327,0.000327
29,20179,0.04704,0.26293,0.89747,0.89053,0.87892,0.95048,0.95005,0.04858,0.36579,1.04256,0.000228,0.000228,0.000228
30,21048,0.04578,0.25364,0.89858,0.892,0.88006,0.95002,0.94938,0.0523,0.36428,1.04313,0.000129,0.000129,0.000129
