Cấu hình,Lần chạy,accuracy_percent
Config 1,1,83.67999792098999
Config 1,2,83.03999900817871
Config 1,3,82.95999765396118
Config 2,1,81.81999921798706
Config 2,2,78.64000201225281
Config 2,3,78.82000207901001
Config 3,1,64.16000127792358
Config 3,2,68.83999705314636
Config 3,3,59.859997034072876
Config 4,1,83.35999846458435
Config 4,2,82.9200029373169
Config 4,3,82.16000199317932
Config 5,1,75.72000026702881
Config 5,2,75.91999769210815
Config 5,3,75.63999891281128
